experiment_id,target_id,target_column,model_id,model_label,combination_id,branches,branch_count,feature_count,oof_folds,rows,groups,records,complete_case_rows,balanced_accuracy_group_bootstrap_ci_low,balanced_accuracy_group_bootstrap_ci_high,class_0,class_1,prevalence,accuracy,balanced_accuracy,f1,precision,npv,recall_sensitivity,specificity,false_positive_rate,false_negative_rate,mcc,tn,fp,fn,tp,errors,roc_auc,average_precision,group_macro_accuracy,group_macro_sensitivity,group_macro_specificity,group_macro_balanced_accuracy,groups_with_positive_cases,groups_with_negative_cases,rank_within_target
signal_unusable__B2__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B2,B2,1,16,5,4877,15,18,3866,0.8881175930338312,0.9952172431839107,4221,656,0.1345089194176748,0.9694484314127537,0.9520943843500269,0.8910021945866862,0.8565400843881856,0.9887181949111858,0.9283536585365854,0.9758351101634684,0.024164889836531627,0.07164634146341463,0.8742271116782095,4119,102,47,609,149,0.9884000439151512,0.9620285598653421,0.964325176779203,0.9623552123552124,0.9742485419312669,0.9683018771432397,7,15,4
signal_unusable__B1+B3+B4__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B1+B3+B4,B1+B3+B4,3,36,5,4877,15,18,1872,0.8865080175064703,0.9971166197337079,4221,656,0.1345089194176748,0.9712938281730572,0.9512292630922046,0.8964497041420119,0.8706896551724138,0.9880411384836164,0.9237804878048781,0.9786780383795309,0.021321961620469083,0.07621951219512195,0.8803231943053579,4131,90,50,606,140,0.9942473318656427,0.9735112658122087,0.965846488138538,0.9588719153936545,0.9773424329216801,0.9681071741576672,7,15,5
signal_unusable__B2+B3+B4__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B2+B3+B4,B2+B3+B4,3,37,5,4877,15,18,3473,0.8805533623135313,0.998326801540608,4221,656,0.1345089194176748,0.9766249743694895,0.9491591837560167,0.9129770992366413,0.9143730886850153,0.9862656878995975,0.9115853658536586,0.9867330016583747,0.013266998341625208,0.08841463414634146,0.8994778237952975,4165,56,58,598,114,0.9928832897070975,0.9725819077021688,0.9705305482170197,0.951506630854457,0.9838528967642817,0.9676797638093693,7,15,6
signal_unusable__B1+B2+B4__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B1+B2+B4,B1+B2+B4,3,39,5,4877,15,18,2121,0.8829834573863424,0.9966899190752873,4221,656,0.1345089194176748,0.9702686077506664,0.9499932466009096,0.8929889298892989,0.8655221745350501,0.9877932024892293,0.9222560975609756,0.9777303956408434,0.0222696043591566,0.07774390243902439,0.8763402956404944,4127,94,51,605,145,0.9936908084432656,0.9725505776866127,0.9655150148486862,0.9580955178781265,0.9772416401393255,0.967668579008726,7,15,7
signal_unusable__B2+B3__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B2+B3,B2+B3,2,29,5,4877,15,18,3480,0.8911868040332921,0.9951546320928238,4221,656,0.1345089194176748,0.9743694894402296,0.951718613668013,0.9062265566391597,0.8921713441654358,0.9876190476190476,0.9207317073170732,0.9827055200189528,0.017294479981047144,0.07926829268292683,0.8915354127518713,4148,73,52,604,125,0.9895737630084191,0.9663125031831711,0.9676633544645924,0.9541066367792711,0.9795748646038744,0.9668407506915728,7,15,8
signal_unusable__B2__extra_trees,signal_unusable,target_signal_unusable_binary,extra_trees,Extremely randomized trees,B2,B2,1,16,5,4877,15,18,3866,0.8537586704987548,0.9965058472333745,4221,656,0.1345089194176748,0.9721140045109699,0.9401157684284732,0.8963414634146342,0.8963414634146342,0.9838900734423123,0.8963414634146342,0.9838900734423123,0.01610992655768775,0.10365853658536585,0.8802315368569464,4153,68,68,588,136,0.9912429721312139,0.9634538130842475,0.9676520162846006,0.9472598657381266,0.9828849197414983,0.9650723927398124,7,15,9
signal_unusable__B1+B4__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B1+B4,B1+B4,2,23,5,4877,15,18,2555,0.8824158876993935,0.9985323107153043,4221,656,0.1345089194176748,0.9624769325404962,0.9467794231513744,0.8690050107372942,0.8191632928475033,0.9881528046421664,0.9253048780487805,0.9682539682539683,0.031746031746031744,0.07469512195121951,0.8493435351343451,4087,134,49,607,183,0.991490356001641,0.9566229987543522,0.9575630000585504,0.9608024173241565,0.9688473046300523,0.9648248609771044,7,15,10
signal_unusable__B1+B2+B3__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B1+B2+B3,B1+B2+B3,3,44,5,4877,15,18,1872,0.8740279952475575,0.996417611524193,4221,656,0.1345089194176748,0.9741644453557515,0.9458065003091396,0.9042553191489362,0.9015151515151515,0.9855347403367323,0.9070121951219512,0.9846008054963279,0.015399194503672116,0.09298780487804878,0.8893285195990165,4156,65,61,595,126,0.9902270731129487,0.9646168421103957,0.9679390638056399,0.9468692294779252,0.9818641087587306,0.9643666691183279,7,15,11
signal_unusable__B2+B4__logistic_regression,signal_unusable,target_signal_unusable_binary,logistic_regression,Regularized logistic regression,B2+B4,B2+B4,2,24,5,4877,15,18,3855,0.8726786317853882,0.9955301246134027,4221,656,0.1345089194176748,0.9719089604264917,0.9445034915434443,0.8967596081386586,0.886736214605067,0.9854969091773657,0.9070121951219512,0.9819947879649372,0.018005212035062782,0.09298780487804878,0.8805801144258669,4145,76,61,595,137,0.9919038662668077,0.9693338353743818,0.9642932602304463,0.9492323351019003,0.9781851949009275,0.9637087650014139,7,15,12
signal_unusable__B1+B3+B4__linear_svm,signal_unusable,target_signal_unusable_binary,linear_svm,Linear support-vector machine,B1+B3+B4,B1+B3+B4,3,36,5,4877,15,18,1872,0.8522433389633991,0.9992039124531457,4221,656,0.1345089194176748,0.9774451507074021,0.939333168651516,0.9136577708006279,0.941747572815534,0.9826250293496126,0.8871951219512195,0.9914712153518124,0.008528784648187633,0.11280487804878049,0.9012297646259371,4185,36,74,582,110,0.9855152229560675,0.9547285318140283,0.9722677050832081,0.9379301661910358,0.9892619014545672,0.9635960338228015,7,15,13
